id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum
73018,73245,132307,,,HD 132307,Bohr,,224.54531850931,6.90495965755,3.919055127926825,0.12051428074162764,34.70354496711839,-24.553681539818914,-24.167040919298664,4.172156436533518,-17946.085788530814,20934.635755952917,15397.08917147818,-167.215,94.299,-8.106811968673105e-07,4.571744531494813e-07,G5,,6.313000202178955,3.6111310009879354,0.46199989318847656,3.2858645016094443,1.3270488192198369,4225.600128173828,,4.92927162337513,,73018,,0.0,7158119.970154951,1.479289197617921,4.226540564622631,2.9409678095499143,1.6730056401631248,,,,1160956465000504448,J14581087+0654179,333-909-1,,,,349760864,38925,,,,,,,-30.16,,,6.775000095367432,6.379000186920166,6.313000202178955,K,J-K,3.1013272820139917
73082,73309,132375A,5583,,HD 132375,Huygens,,224.71992374867585,-4.989253315179167,3.922102564244992,-0.08707889756591884,34.30720039521895,-24.284782818770864,-24.048515558562993,-2.983659134753183,-40141.07010392789,42699.140706524435,-17159.267356114593,-360.23,-105.924,-1.7464443234608815e-06,-5.135340435784649e-07,F7V,V,6.079999923706055,3.403073527029939,0.49000024795532227,1.559538058704769,1.3921712066593517,6434.591499248499,Main sequence,4.372888277687638,,73082,,0.0,7076368.03392296,1.6280381616671384,4.651537604763253,3.2366949166477634,1.8412336352187875,,,,6337304342094223744,J14585280-0459211,4995-952-1,J14589-0459A,J14589-0459A,9457 A,175838533,38950,3384,,14562-0447,8687,12557,,-24.379,6.079999923706055,6.570000171661377,5.139999866485596,4.98799991607666,4.836999893188477,V,B-V,3.7563892514803228
73489,73717,133352,,,HD 133352,Hawking,,226.02893933252372,-6.887366748689998,3.944949196143053,-0.12020722655701732,34.28449963487008,-23.631784013111808,-24.496177112227333,-4.111326605541079,-23728.377277642303,23170.089822145033,-1288.9944773095494,-204.055,-8.022,-9.892865569880637e-07,-3.8891753498606976e-08,G8V,V,7.75,5.074510922315853,0.75,1.0119749029204073,0.9474338730977844,5436.136574148009,Main sequence,11.445314490679799,,73489,,0.0,7071685.665993548,0.7540099928701777,2.1543142653433645,1.4990436763014245,0.8527493966984152,,,,6333022740735635328,J15040696-0653144,5012-808-1,J15041-0653A,J15041-0653A,9492 A,192726036,,,,,,,,-44.78,7.75,8.5,6.288000106811523,5.9079999923706055,5.794000148773193,V,B-V,0.8057413114343613
73788,,134066A,,,HD 134066A,Fermi,,226.8872730171,9.226034317560002,3.9599299450196837,0.16102467574341012,32.86284690842768,-22.169101946922066,-23.679873652674157,5.268890735925252,-21741.184582041795,21184.40530619946,3518.310622963585,-194.816,22.916,-9.444946209903536e-07,1.1109990316306125e-07,G2V,V,7.28000020980835,4.696474291509642,0.6449999809265137,1.0592237608978816,1.0336001670679449,5796.756211286872,Main sequence,9.20700911015156,,73788,,0.0,6778448.742174535,0.8973966165048219,2.5639903328709197,1.784109939956015,1.0149128400947391,,,,1167718049194619264,J15073294+0913338,919-1659-1,J15075+0914A,J15075+0914A,9507 A,449902389,,,,,8748,,,-34.2,7.28000020980835,7.925000190734863,5.8470001220703125,5.578000068664551,5.492000102996826,V,B-V,1.141327504697141
75150,75379,137052,5723,,* eps Lib,Archimedes,,231.04951580174,-10.322278854,4.032574785879029,-0.18015775231128706,28.883202107318425,-17.863513433959966,-22.09862383507117,-5.175430065507582,-4758.526583564095,8665.871201668273,-20512.781970412943,-66.816,-152.296,-3.2393310917014755e-07,-7.383518437825788e-07,F4V,V,4.920000076293945,2.6167733803431474,0.4379997253417969,2.075896693726787,1.6684863651865849,6684.148897849182,Main sequence,2.7809510535789146,,75150,,0.0,5957588.079324827,2.3384312706833748,6.6812322019525,4.649024073858614,2.6446544132728644,eps,,Lib,6316197051735920896,J15241189-1019200,5598-1052-1,,,,37018039,,3478.00,,15214-1008,8913,12860,,-11.68,4.920000076293945,5.357999801635742,4.361000061035156,4.014999866485596,4.007999897003174,V,B-V,7.749802732015113
60776,60965,108767,4757,,* del Crv,Algorab,Algorab,187.46606318416664,-16.515431261666667,3.271900038315433,-0.2882486529028845,26.27430373095113,-24.97674676086402,-3.2732018937223795,-7.469090115460732,1486.1238955928268,26483.491567078185,-16624.457041971644,-209.276,-139.184,-1.0145986792787924e-06,-6.747830739154965e-07,A0IV(n)kB9,IV,2.940000057220459,0.8423439769754673,-0.04999995231628418,1.975753061317952,2.6288487649878514,10795.073234438127,,0.8924543161373009,,60776,,0.0,5419464.161849711,5.805110496509646,16.58602999002756,11.54111253472751,6.565303537719243,del,,Crv,3520586071216143488,J12295187-1630552,6103-2395-1,J12299-1631A,J12299-1631A,8572 A,297075865,30918,2880.00,465,F12272-1614,7515,10850,,13.9,2.940000057220459,2.890000104904175,3.0199999809265137,3.049999952316284,3.049999952316284,V,B-V,47.759790074669034
74746,74975,136202,5694,,*   5 Ser,Maal,,229.82832267080124,1.7654073283511111,4.01126094494141,0.030812170518563525,25.128532443448236,-16.202220715951256,-19.191974640779943,0.7741421191810824,32629.243932733694,-30083.50308961881,-61135.9262647089,372.216,-513.483,1.8045540912786703e-06,-2.4894358341716783e-06,F8IV,IV,5.599999904632568,3.5991642762982705,0.3299999237060547,3.2142428055289347,1.3617066938702402,4384.000091552734,Subgiant,4.621586320646949,,74746,,0.0,5183131.869512557,1.5575659009100569,4.450188288314449,3.0965893506188036,1.761532864124469,,5,Ser,4421455530273467392,J15191881+0145553,336-1027-1,J15193+0146A,J15193+0146A,9584 A,461297684,39881,3457,,15167+0156,8861,12790,,54.429,,5.599999904632568,4.340000152587891,3.950000047683716,4.010000228881836,B,J-K,3.4382249655297015
55539,55705,99211,4405,,* gam Crt,Katydid,,171.2205150667429,-17.684011879005833,2.9883617348752223,-0.3086442322504409,26.520626417195974,-24.97137220304215,3.856617752254388,-8.05609678259907,1719.3941807153708,12049.85400534398,437.01893738138193,-96.811,3.65,-4.693529728189529e-07,1.769569936049806e-08,A7V(n),V,4.059999942779541,1.9420810533318038,0.19000005722045898,2.0429325954749156,2.0407598185634295,8241.214124831342,Main sequence,1.6808163474896907,,55539,,0.0,5470271.862941403,3.4983485351329553,9.9952815289513,6.95505006389528,3.95646560520989,gam,,Crt,3546521385853638912,J11245298-1741025,6088-2155-1,J11249-1741A,J11249-1741A,8153 A,334849779,,2644.00,431,F11223-1724,6963,10012,,0.58,4.059999942779541,4.25,3.6480000019073486,3.5230000019073486,3.5460000038146973,V,B-V,17.344731396353307
86475,86742,161096,6603,,* bet Oph,Celebrai,Cebalrai,265.86813295741786,4.567303668469166,4.64027429623699,0.07971448695320248,25.491735579325184,-1.8309029083198658,-25.34474000551992,2.0299092194325774,-4925.847390479873,1906.104703957341,19203.824300873493,-41.793,159.43,-2.0261818174610835e-07,7.729384517929331e-07,K2IIICN0.5,,2.75,0.7180029750930492,1.1800000667572021,12.894470258597165,2.7052020165458006,4348.3477892690225,Bright giant,0.830808141543738,,86475,,0.0,5258047.893872807,6.1472190782717115,17.56348308077632,12.221256977040188,6.952212052807292,bet,,Oph,4473334474601314560,J17432835+0434022,423-1724-1,,,,361269297,,4042.00,665,17409+0435,10239,14628,,-12.12,2.75,3.930000066757202,0.8859999775886536,0.3540000021457672,0.21899999678134918,V,B-V,53.55485033484653
71517,71743,128987,,,V* KU Lib,Kang,,220.12960970803,-16.20929238842,3.841986470535197,-0.2829055215963846,23.731773997569867,-17.423745786000527,-14.687552356990565,-6.624649848650338,-6496.698093145646,10958.074143425923,-7126.035304423228,-111.695,-66.024,-5.415126411152961e-07,-3.2009338481576e-07,G8Vk:,,7.239999771118164,5.363348752058666,0.7370004653930664,0.8723927060646648,0.8864722086385958,5478.169104676963,Main sequence,13.515657818054272,,71517,,0.0,4895029.759644593,0.6600997004184157,1.885999144052616,1.3123410710699455,0.7465413278541605,KU,,Lib,6286606170175267840,J14403109-1612335,6154-999-1,,,,466493185,,,,,,,,-22.88,7.239999771118164,7.9770002365112305,5.947000026702881,5.629000186920166,5.531000137329102,V,B-V,0.6175334672512502
