id,mod,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,radius,mass,comp,compdist,AU dist,Temp,type,Outer OHZ,Inner OHZ,Outer CHZ,Inner CHZ,Special,Luminosity Class,System Location ID
55539,,55705,99211,4405,,15Gam Crt,Katydid,11.414702,-17.68401,25.239799,-97.010002,3.22,1,4.06,2.05,A9,0.216,-23.765377,3.670362,-7.667025,0.00000073,0.0000119,0.00000006,2.988362,-0.308644,-4.70E-07,1.56E-08,Gam,15,Crt,1,55539,,13.182568,,0,0,1.38,1.78,0,0,0,7525,,5.73,2.49,5.43,3.15,,,
56075,,56242,100180,4437,NN 3669A,88    Leo,Charybdis,11.529153,14.364505,23.3263,-327.880005,-188.710007,-4.2,6.27,4.431,G0,0.57,-22.42555,2.778437,5.787008,0.00000343,0.00003693,-0.00002174,3.018325,0.250708,-1.59E-06,-9.15E-07,,88,Leo,1,56075,NN 3669,1.470957,,0,0,1.05,1.1,0,0,0,6000,,2.48,0.98,2.35,1.25,Lakes of liquid sulphur,I,
56828,,56997,101501,4496,Gl 434,61    UMa,Kumasi,11.684171,34.201633,9.6117,-13.95,-380.459991,-5.9,5.31,5.396,G8,0.723,-7.922294,0.656542,5.402774,-0.0000049,0.00000106,-0.00001805,3.058909,0.596931,-6.76E-08,-1.84E-06,,61,UMa,1,56828,,0.604784,,0,0,0.882,0.84,0,0,0,5320,,1.43,0.6,1.4,0.76,Liquid methane geysers,V-e,
57270,,57443,102365,4523,Gl 442A,,Alpha Tirna,11.775376,-40.500355,9.2208,-1531.689941,403.410004,15.3,4.89,5.066,G3,0.664,-6.99949,0.412234,-5.988563,-0.00001955,0.00006973,0.00000355,3.082786,-0.706865,-7.43E-06,1.96E-06,,0,Cen,1,57270,Gl 442,0.819596,,0,0,0.976667,0.976667,118771,0.018686,3854.166016,5745,,1.6,0.68,1.52,0.86,,,
57459,,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.019989,-113.779999,-0.2,2.14,1.933,A3,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093857,0.25433,-2.42E-06,-5.52E-07,Bet,94,Leo,1,57459,,14.6825,,0,0,2.02,2.54,0,0,0,9175,,6.5,2.8,6.17,3.56,,,
57584,,57757,102870,4540,Gl 449,5Bet Vir,Lantana,11.844922,1.764718,10.929,740.960022,-271.179993,4.3,3.59,3.397,F8,0.518,-10.914853,0.443379,0.336562,-0.00000643,-0.00003903,-0.00001423,3.100993,0.0308,3.59E-06,-1.31E-06,Bet,5,Vir,1,57584,,3.812413,,0,0,1.11,1.18,0,0,0,6130,subgiant,3.35,1.43,3.18,1.82,All Mountains,IX-c,
57767,,57939,103095,4550,Gl 451A,,Groombridge 1830,11.88282,37.718678,9.0917,4003.689941,-5813,-99.099998,6.42,6.627,G8,0.754,-7.187679,0.220247,5.561623,-0.00008204,-0.00017401,-0.00026465,3.110915,0.658315,1.94E-05,-2.82E-05,,0,UMa,1,57767,Gl 451,0.194626,CF,6.546,6.406,0.882,0.84,0,0,0,5320,,0.76,0.32,0.72,0.41,,,
58401,,58576,104304,4587,Gl 454,,Nirvana,12.012347,-10.446014,12.7632,141.979996,-483.339996,0.1,5.54,5.01,K0,0.76,-12.5516,-0.040575,-2.314084,0.00000535,-0.00000877,-0.00002943,3.144825,-0.182317,6.88E-07,-2.34E-06,,0,Vir,1,58401,,0.862979,,0,0,0.85,0.78,0,0,0,5200,,1.73,0.72,1.64,0.91,,,
59020,,59199,105452,4623,Gl 455.3,1Alp Corvi,Corvi,12.140225,-24.728874,14.9365,100.18,-39.330002,2.9,4.02,3.149,F0,0.334,-13.557668,-0.497944,-6.248321,-0.00000124,-0.0000073,-0.00000383,3.178303,-0.4316,4.86E-07,-1.91E-07,Alp,1,Crv,1,59020,,4.790711,,0,0,1.3,1.7,0,0,0,7040,subgiant,4.06,1.7,3.86,2.15,Permanent hurricane,VII-b,
59092,,59272,105590,0,Wo 9390A,,Zelazny,12.157926,-11.857064,22.2222,320.940002,-163.820007,4,6.81,5.076,G0,0.666,-21.7295,-0.898921,-4.566021,0.00000105,-0.00003456,-0.00001811,3.182937,-0.206945,1.56E-06,-7.94E-07,,0,Crv,1,59092,Wo 9390,0.812082,,6.897,6.787,1.05,1.1,0,0,0,6000,,1.56,0.67,1.48,0.85,Liquid iodine ocean,I,
60776,,60965,108767,4757,,7Del Crv,Algorab,12.497739,-16.515432,26.631201,-209.970001,-139.300003,9,2.94,0.813,B9,-0.012,-25.316093,-3.317674,-7.57057,-0.0000072,0.00002639,-0.00001986,3.2719,-0.288249,-1.02E-06,-6.75E-07,Del,7,Crv,1,60776,,41.190777,,0,0,2.6,3.3,0,0,0,10500,,24.98,10.01,23.92,12.69,,,
60805,,60994,108799,4758,Gl 469.2A,,Marduk,12.501327,-13.393184,24.6488,-261.579987,-54.16,1.9,6.37,4.411,G1,0.591,-23.772226,-3.13807,-5.709459,-0.00000448,0.00003094,-0.00000675,3.27284,-0.233755,-1.27E-06,-2.63E-07,,0,Crv,1,60805,Gl 469.2,1.498304,,0,0,1.03,1.05,0,0,0,5915,,2.14,0.91,2.03,1.15,Collision gouge,I,
61748,,61941,110379,4825,Gl 482A,29Gam Vir,Porrima,12.694345,-1.449375,11.685,-616.659973,60.66,-19.9,2.74,2.402,F0,0.368,-11.488622,-2.111702,-0.295552,0.00001361,0.00003802,0.00000395,3.323372,-0.025296,-2.99E-06,2.94E-07,Gam,29,Vir,1,61748,Gl 482,9.532351,,0,0,1.3,1.7,0,0,0,7500,,4.87,2.12,4.62,2.69,,,
62328,,62523,111395,4864,Gl 486.1,,Ixyll,12.813075,24.840225,16.9319,-334.549988,-106.059998,-8.7,6.29,5.146,G7,0.703,-15.018549,-3.246037,7.112877,-0.00000148,0.00002777,-0.00001164,3.354455,0.433544,-1.62E-06,-5.14E-07,,0,COM,1,62328,,0.761377,LW,6.323,6.283,0.898,0.87,0,0,0,5405,,1.59,0.67,1.51,0.85,,,
63947,,64150,114174,0,Wo 9429,,Verne,13.147506,5.207241,26.1301,84.519997,-669.960022,28.1,6.78,4.694,G5,0.667,-24.857048,-7.700531,2.37155,-0.00003153,-0.00002098,-0.00008191,3.442009,0.090884,4.10E-07,-3.25E-06,,0,Vir,1,63947,,1.154516,,0,0,0.93,0.93,0,0,0,5575,,1.93,0.82,1.84,1.03,,,
64587,,64792,115383,5011,Gl 504,59    Vir,Rutherford,13.279588,9.424156,17.559299,-334.51001,190.699997,-27.4,5.19,3.967,G0,0.585,-16.359161,-5.694884,2.875153,0.00001926,0.00003685,0.00001143,3.476588,0.164483,-1.62E-06,9.25E-07,,59,Vir,1,64587,,2.255278,,0,0,1.05,1.1,0,0,0,6000,,2.6,1.11,2.47,1.41,Equatorial continent,III,
64720,,64924,115617,5019,Gl 506,61    Vir,Volii,13.306763,-18.311195,8.5551,-1069.900024,-1063.780029,-8.4,4.74,5.079,G5,0.709,-7.651172,-2.724657,-2.6878,0.00000585,0.00004919,-0.00003919,3.483702,-0.319591,-5.19E-06,-5.16E-06,,61,Vir,1,64720,,0.809841,,0,0,0.93,0.93,0,0,0,5575,,1.62,0.68,1.54,0.87,Hallucinagenic atmosphere,Volii Alpha,
65147,,65352,116442,0,NN 3781A,,Minerva,13.39421,2.723325,15.4488,13.4,198.619995,28,7.06,6.116,G5,0.78,-14.415009,-5.508346,0.734032,-0.0000257,-0.0000109,0.00001622,3.506596,0.047531,6.50E-08,9.63E-07,,0,Vir,1,65147,NN 3781,0.311602,,7.078,6.918,0.93,0.93,0,0,0,5575,,1,0.42,0.95,0.54,Retrograde moon orbit,III-b,
65150,,65355,116443,0,NN 3782B,,Athena,13.394679,2.725278,16.142099,4.58,202.860001,0,7.35,6.31,G4,0.869,-15.060939,-5.757294,0.767511,0.00000083,-0.00000007,0.00001586,3.506719,0.047565,2.22E-08,9.83E-07,,0,Vir,2,65150,NN 3782,0.260615,,0,0,0.953333,0.953333,0,0,0,5660,,0.91,0.39,0.86,0.49,,,
