id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ
55476,55642,99028,4399,9359 A,* iot Leo,Leonis,,170.9811,10.5295,2.98418237,0.18377455,23.6101,-22.9255,3.6388,4.3145,-4240.09933305,-16258.38468202,-8882.45714529,149.407,-80.702,7.2e-07,-3.9e-07,F1IV,IV,4.01,2.145,0.4,2.435,1.86,6880.243849975384,Subgiant,2.1189872882230016,1,55476,,,4869927.517070085,2.9065420132885262,8.304405752252933,5.778482335942665,3.2871606102667856,iot,,Leo,3915612630249290752,J11235546+1031459,858-1221-1,J11239+1032A,J11239+1032A,8148 A,396915247,27257,2640.00,,11213+1048,6956,9999,,-11.8,4.010000228881836,4.409999847412109,3.0820000171661377,2.8399999141693115,2.789999961853028,V,B-V,11.9728,Leonis,1,iot  Leo,,F2 <-> F1,2.13 <-> 2.15,1.54 <-> 1.86,2.10 <-> 2.44,7170 <-> 6880,23.67 <-> 23.61,2.43 <-> 2.91,5.56 <-> 8.30
0,,,,,Sol,Sol,Sol,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,G2V,V,-26.74,4.83,0.63,,,,,,1,0,,,0.0,0.84,2.4,0.95,1.67,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sol,1,,,,4.85 <-> 4.83,,,,,0.75 <-> 0.84,1.76 <-> 2.40
78498,78738,144087,,9541 A,HD 144087,Enlil,,241.108,-11.4494,4.20812889,-0.19982943,27.8631,-13.1944,-23.9096,-5.5309,-6827.84532833,4469.12909688,-2871.09997763,-61.607,-22.227,-3e-07,-1.1e-07,K1(V),V,7.43,5.205,0.71,0.996,0.96,5567.726999373595,Main sequence,10.995468907730473,1,78498,,,5747170.672447325,0.778589033254737,2.224540095013534,1.5479091494469177,0.8805471209428574,,,,4343064577465522688,J16042591-1126577,5619-1260-1,J16044-1123D,J16044-1127A,9910 A,49777149,,3637,,,9240,13312,,-31.79,7.429999828338623,8.140000343322754,6.197999954223633,5.894000053405762,5.787000179290772,V,B-V,0.8591,Enlil,1,,,G8 <-> K1,5.43 <-> 5.21,0.84 <-> 0.96,0.88 <-> 1.00,5320 <-> 5568,25.26 <-> 27.86,0.59 <-> 0.78,1.41 <-> 2.22
119060,,,,9540 C,* ksi Sco C,Alpha Ternion,,241.0938,-11.3716,4.20788099,-0.19847249,27.8918,-13.2176,-23.9375,-5.4995,-8521.00032436,5096.40509133,-1543.71193115,-75.048,-11.957,-3.6e-07,-6e-08,G1V,V,5.85,3.623,,,1.32,,Main sequence,4.961966458615148,3,119058.0,119059|119225,0.152707,5753101.738218494,1.471486312291189,4.204246606546255,2.9254549303884354,1.664180948424559,,,,4343066192373234688,,,J16044-1123C,J16044-1122C,9909 C,,,,,,9239,13313,,-31.5,,,5.849999904632568,,,J,,3.0687,Alpha Ternion,3,,,G8 <-> G1,5.37 <-> 3.62,0.84 <-> 1.32,,,24.33 <-> 27.89,0.61 <-> 1.47,1.45 <-> 4.20
119059,,144069,5977,9540 B,* ksi Sco B,Proxima Ternion,,241.0922,-11.373,4.20785275,-0.19849568,27.6878,-13.1215,-23.7619,-5.4599,-4725.10939324,3191.62768902,-2385.51551391,-43.269,-18.584,-2.1e-07,-9e-08,F5V,V,4.87,2.659,0.48,2.166,1.65,6481.00883465622,Main sequence,2.848653050219033,2,119058.0,119060|119225,0.356757,5711017.138743528,2.293863863533758,6.553896752953594,4.560419823930209,2.5942507980441305,,,,4343066192373234176,,5619-1257-2,J16044-1123B,J16044-1122B,9909 B,,,,,,9238,13311,,-29.4,4.869999885559082,5.349999904632568,,,,V,B-V,7.4572,Proxima Ternion,2,,,F6 <-> F5,3.07 <-> 2.66,1.26 <-> 1.65,1.17 <-> 2.17,6510 <-> 6481,24.33 <-> 27.69,1.63 <-> 2.29,3.78 <-> 6.55
119225,,144070,5978,9540 A,* ksi Sco A,Beta Ternion,,241.0923,-11.3732,4.20785468,-0.19849992,28.0445,-13.2905,-24.0681,-5.5303,-8247.27190751,5558.69948684,-4206.34459909,-74.518,-32.323,-3.6e-07,-1.6e-07,F4(V),V,5.16,2.921,0.48,1.92,1.56,6481.00883465622,Main sequence,3.3127609479526923,1,119225,119060|119059,,5784595.878578479,2.0329523890071863,5.8084353971633895,4.041702963859525,2.299172344710508,ksi,,Sco,4343066192367555072,,5619-1257-1,J16044-1123A,J16044-1122A,9909 A,,,,,,,,119225.0,-32.6,5.159999847412109,5.639999866485596,,,,V,B-V,5.8573,Beta Ternion,1,ksi  Sco,,F6 <-> F4,2.91 <-> 2.92,1.29 <-> 1.56,1.18 <-> 1.92,6510 <-> 6481,24.33 <-> 28.04,1.76 <-> 2.03,4.07 <-> 5.81
71731,71957,129502,5487,9491,* mu. Vir,Heinlein,,220.7651,-5.6582,3.85307787,-0.09875424,19.1639,-14.4439,-12.4523,-1.8894,8668.57488272,-5720.93031957,-28580.13018374,110.002,-316.139,5.3e-07,-1.53e-06,F2V,V,3.88,2.468,0.38,2.034,1.73,6988.564151087949,Main sequence,2.552088481957368,1,71731,,,3952833.973726321,2.504740303874317,7.156400868212335,4.97966227079775,2.8327420103340493,,,,6337717036910713856,J14430363-0539291,4997-942-1,,J14431-0540A,,185284200,38172,3325.00,545,14404-0526,8551,12388,,1.63,3.880000114440918,4.260000228881836,3.3299999237060547,3.069999933242798,3.039999961853028,V,B-V,8.8913,Heinlein,1,,,,2.56 <-> 2.47,1.99 <-> 1.73,1.26 <-> 2.03,7170 <-> 6989,18.27 <-> 19.16,1.99 <-> 2.50,4.56 <-> 7.16
69479,69701,124850,5338,9473,* iot Vir,Syrma,Syrma,214.0036,-6.0005,3.73506774,-0.1047293,22.0258,-18.1594,-12.2503,-2.3025,2190.42063431,4828.67096928,-43081.0861502,-26.606,-414.866,-1.3e-07,-2.01e-06,F7III,III,4.08,2.365,0.52,2.624,1.77,6299.551342527256,Bright giant,2.406226675942222,1,69479,,,4543137.568445026,2.625488112920848,7.5013946083452785,5.219720414973589,2.969302032470006,iot,,Vir,3640828731549668352,J14160086-0600016,4982-1645-1,,J14190-0636C,,6029884,36758,3241.00,525,14133-0545,8342,12135,,12.079,4.079999923706055,4.599999904632568,3.140000104904175,2.9089999198913574,2.8010001182556152,V,B-V,9.7693,Syrma,1,iot  Vir,,,2.33 <-> 2.37,1.22 <-> 1.77,1.14 <-> 2.62,6345 <-> 6300,22.24 <-> 22.03,2.31 <-> 2.63,5.37 <-> 7.50
63947,64150,114174,,9429,HD 114174,Verne,,197.2126,5.2072,3.44200912,0.09088349,26.4077,-25.1209,-7.7823,2.3967,-4237.87417147,-12522.35089847,-84812.71247787,85.533,-680.324,4.1e-07,-3.3e-06,G3IV+D,IV,7.47,5.361,0.411,1.493,0.91,4286.800270080566,Subgiant,12.744890466091032,1,63947,,,5446985.319942854,0.6918475386071297,1.976707253163228,1.375458796992746,0.7824466210437776,,,,3729017810434416128,J13085103+0512259,304-969-1,,J13088+0513AB,,381726125,33022,3002.00,3047,,7820,11339,,24.195,,7.46999979019165,5.61299991607666,5.311999797821045,5.202000141143799,B,J-K,0.6784,Verne,1,,,G5 <-> G3,4.69 <-> 5.36,0.93 <-> 0.91,0.93 <-> 1.49,5575 <-> 4287,26.13 <-> 26.41,0.82 <-> 0.69,1.93 <-> 1.98
59092,,105590A,,9390 A,HD 105590A,Zelazny,,182.3689,-11.8571,3.1829375,-0.20694494,24.7923,-24.2426,-1.0029,-5.0941,5543.97380878,-36691.16274734,-19169.55070572,313.876,-166.66,1.52e-06,-8.1e-07,G4,,6.84,4.868,0.75,1.113,0.99,5436.136574148009,,10.16491989798217,1,59092,,,5113779.462552467,0.8290793868520804,2.368798248148801,1.6482887810035407,0.9376493065589004,,,,3574377616021489152,J12092849-1151251,5522-1685-1,J12095-1151A,J12095-1151A,,152854208,29769,,,,,,,1.94,6.840000152587891,7.590000152587891,5.645999908447266,5.379000186920166,5.270999908447266,V,B-V,0.9742,Zelazny,1,,,G0 <-> G4,5.08 <-> 4.87,1.1 <-> 0.99,1.05 <-> 1.11,6000 <-> 5436,22.22 <-> 24.79,0.67 <-> 0.83,1.56 <-> 2.37
